,col
1446, 0 
1447, 0 
1449, 1 
1450, 1 
1451, 1 
1452, 0 
1453, 1 
1454, 1 
1455, 1 
1456, 1 
1457, 0xe 
1458, 0 
1459, 0 
1460, 0 
1461, 0 
1462, 0 
1463, 0 
1464, 1 
1465, 0 
1467, 1 
1468, 1 
1469, 1 
1470, 1 
1471, 1 
1472, 1 
1473, 1 
1474, 1 
1475, 0xf 
1476, 0 
1477, 0 
1478, 0 
1479, 0 
1480, 0 
1481, 0 
1482, 0 
1483, 1 
1485, 0 
1486, 1 
1487, 1 
1488, 1 
1489, 1 
1490, 1 
1491, 1 
1492, 1 
1493, 0xe 
1494, 0 
1495, 0 
1496, 0 
1497, 0 
1498, 0 
1499, 0 
1500, 1 
1501, 0 
1503, 1 
1504, 1 
1505, 1 
1506, 1 
1507, 1 
1508, 1 
1509, 1 
1510, 1 
1511, 0xa 
1512, 0 
1513, 0 
1514, 1 
1515, 0 
1516, 0 
1518, 1 
1519, 1 
1520, 1 
1521, 1 
1522, 1 
1523, 1 
1524, 0 
1525, 1 
1526, 0x8 
1527, 1 
1528, 0 
1529, 0 
1530, 0 
1531, 0 
1532, 0 
1533, 0 
1534, 0 
1536, 1 
1537, 0 
1538, 1 
1539, 1 
1540, 1 
1541, 1 
1542, 1 
1543, 1 
1544, 0xa 
1545, 0 
1546, 0 
1547, 1 
1548, 0 
1549, 0 
1550, 0 
1551, 0 
1552, 0 
1554, 1 
1555, 1 
1556, 1 
1557, 1 
1558, 0 
1559, 1 
1560, 1 
1561, 1 
1562, 0xb 
1563, 0 
1564, 0 
1565, 0 
1566, 1 
1567, 0 
1568, 0 
1569, 0 
1570, 0 
1572, 1 
1573, 1 
1574, 1 
1575, 0 
1576, 0 
1577, 1 
1578, 1 
1579, 1 
1580, 0xd 
1581, 0 
1582, 0 
1583, 0 
1584, 0 
1585, 0 
1587, 1 
1588, 1 
1589, 1 
1590, 1 
1591, 0 
1592, 1 
1593, 1 
1594, 1 
1595, 0x9 
1596, 0 
1597, 1 
1598, 0 
1599, 0 
1600, 0 
1601, 0 
1602, 0 
1603, 0 
1605, 0 
1606, 0 
1607, 0 
1608, 1 
1609, 1 
1610, 1 
1611, 1 
1612, 0 
1613, 0x9 
1614, 0 
1615, 1 
1616, 0 
1617, 0 
1618, 0 
1619, 0 
1620, 0 
1621, 0 
1623, 1 
1624, 0 
1625, 1 
1626, 1 
1627, 1 
1628, 1 
1629, 1 
1630, 1 
1631, 0xe 
1632, 0 
1633, 0 
1634, 0 
1635, 0 
1636, 0 
1637, 0 
1638, 1 
1639, 0 
1641, 1 
1642, 1 
1643, 1 
1644, 1 
1645, 0 
1646, 1 
1647, 1 
1648, 1 
1649, 0xa 
1650, 0 
1651, 0 
1652, 1 
1653, 0 
1654, 0 
1656, 1 
1657, 1 
1658, 1 
1659, 1 
1660, 1 
1661, 1 
1662, 1 
1663, 0 
1664, 0xc 
1665, 0 
1666, 0 
1667, 0 
1668, 0 
1669, 1 
1670, 0 
1671, 0 
1672, 0 
1674, 1 
1675, 1 
1676, 1 
1677, 1 
1678, 1 
1679, 1 
1680, 1 
1681, 1 
1682, 0x9 
1683, 0 
1684, 1 
1685, 0 
1686, 0 
1687, 0 
1688, 0 
1689, 0 
1690, 0 
1692, 1 
1693, 1 
1694, 1 
1695, 0 
1696, 1 
1697, 1 
1698, 0 
1699, 1 
1700, 0x9 
1701, 0 
1702, 1 
1703, 0 
1704, 0 
1705, 0 
1706, 0 
1707, 0 
1708, 0 
1710, 1 
1711, 0 
1712, 1 
1713, 0 
1714, 0 
1715, 1 
1716, 1 
1717, 1 
1718, 0x8 
1719, 1 
1720, 0 
1721, 0 
1722, 0 
1723, 0 
1725, 1 
1726, 1 
1727, 1 
1728, 1 
1729, 1 
1730, 1 
1731, 1 
1732, 1 
1733, 0xe 
1734, 0 
1735, 0 
1736, 0 
1737, 0 
1738, 0 
1739, 0 
1740, 1 
1741, 0 
1743, 1 
1744, 1 
